date_key,calender,year,quarter,day,month,weekday,week_of_year,isweekend,isholiday,isholiday_in_us,day_in_year,day_in_quarter,day_in_month,day_in_week
20240101,2024-01-01,2024,1,1,January,Monday,1,False,True,True,1,1,1,1
20240102,2024-01-02,2024,1,2,January,Tuesday,1,False,False,False,2,2,2,2
20240103,2024-01-03,2024,1,3,January,Wednesday,1,False,False,False,3,3,3,3
20240104,2024-01-04,2024,1,4,January,Thursday,1,False,False,False,4,4,4,4
20240105,2024-01-05,2024,1,5,January,Friday,1,False,False,False,5,5,5,5
20240106,2024-01-06,2024,1,6,January,Saturday,1,True,False,False,6,6,6,6
20240107,2024-01-07,2024,1,7,January,Sunday,1,True,False,False,7,7,7,7
20240108,2024-01-08,2024,1,8,January,Monday,2,False,False,False,8,8,8,1
20240109,2024-01-09,2024,1,9,January,Tuesday,2,False,False,False,9,9,9,2
20240110,2024-01-10,2024,1,10,January,Wednesday,2,False,False,False,10,10,10,3
20240111,2024-01-11,2024,1,11,January,Thursday,2,False,False,False,11,11,11,4
20240112,2024-01-12,2024,1,12,January,Friday,2,False,False,False,12,12,12,5
20240113,2024-01-13,2024,1,13,January,Saturday,2,True,False,False,13,13,13,6
20240114,2024-01-14,2024,1,14,January,Sunday,2,True,False,False,14,14,14,7
20240115,2024-01-15,2024,1,15,January,Monday,3,False,False,True,15,15,15,1
20240116,2024-01-16,2024,1,16,January,Tuesday,3,False,False,False,16,16,16,2
20240117,2024-01-17,2024,1,17,January,Wednesday,3,False,False,False,17,17,17,3
20240118,2024-01-18,2024,1,18,January,Thursday,3,False,False,False,18,18,18,4
20240119,2024-01-19,2024,1,19,January,Friday,3,False,False,False,19,19,19,5
20240120,2024-01-20,2024,1,20,January,Saturday,3,True,False,False,20,20,20,6
20240121,2024-01-21,2024,1,21,January,Sunday,3,True,False,False,21,21,21,7
20240122,2024-01-22,2024,1,22,January,Monday,4,False,False,False,22,22,22,1
20240123,2024-01-23,2024,1,23,January,Tuesday,4,False,False,False,23,23,23,2
20240124,2024-01-24,2024,1,24,January,Wednesday,4,False,False,False,24,24,24,3
20240125,2024-01-25,2024,1,25,January,Thursday,4,False,False,False,25,25,25,4
20240126,2024-01-26,2024,1,26,January,Friday,4,False,False,False,26,26,26,5
20240127,2024-01-27,2024,1,27,January,Saturday,4,True,False,False,27,27,27,6
20240128,2024-01-28,2024,1,28,January,Sunday,4,True,False,False,28,28,28,7
20240129,2024-01-29,2024,1,29,January,Monday,5,False,False,False,29,29,29,1
20240130,2024-01-30,2024,1,30,January,Tuesday,5,False,False,False,30,30,30,2
20240131,2024-01-31,2024,1,31,January,Wednesday,5,False,False,False,31,31,31,3
20240201,2024-02-01,2024,1,1,February,Thursday,5,False,False,False,32,32,1,4
20240202,2024-02-02,2024,1,2,February,Friday,5,False,False,False,33,33,2,5
20240203,2024-02-03,2024,1,3,February,Saturday,5,True,False,False,34,34,3,6
20240204,2024-02-04,2024,1,4,February,Sunday,5,True,False,False,35,35,4,7
20240205,2024-02-05,2024,1,5,February,Monday,6,False,False,False,36,36,5,1
20240206,2024-02-06,2024,1,6,February,Tuesday,6,False,False,False,37,37,6,2
20240207,2024-02-07,2024,1,7,February,Wednesday,6,False,False,False,38,38,7,3
20240208,2024-02-08,2024,1,8,February,Thursday,6,False,False,False,39,39,8,4
20240209,2024-02-09,2024,1,9,February,Friday,6,False,False,False,40,40,9,5
20240210,2024-02-10,2024,1,10,February,Saturday,6,True,False,False,41,41,10,6
