transaction_id_dd,transaction_date,transaction_time,transaction_date_key,customer_id,account_id,merchant_id,branch_id,channel_id,transaction_type_id,amount,currency,is_recurring,is_salary,previous_balance,balance_after_transaction
txn00000000001,2024-01-02,09:00:00,20240102,1,1,0,501,4,4,1604.92,USD,True,True,1283.94,2888.86
txn00000000002,2024-01-02,10:30:00,20240102,1,1,0,501,2,6,340.12,USD,True,False,2888.86,2548.74
txn00000000003,2024-01-08,15:21:20,20240108,1,1,32,501,1,1,24.65,USD,False,False,2548.74,2524.09
txn00000000004,2024-01-11,11:14:43,20240111,1,1,50,501,3,2,90.66,USD,False,False,2524.09,2433.43
txn00000000005,2024-01-19,14:32:23,20240119,1,1,54,501,1,1,24.11,USD,False,False,2433.43,2409.32
txn00000000006,2024-01-23,23:00:00,20240123,1,1,28,501,2,1,27.84,USD,False,False,2409.32,2381.48
txn00000000007,2024-01-23,12:30:20,20240123,1,1,12,501,2,1,12.38,USD,False,False,2381.48,2369.1
txn00000000008,2024-01-24,21:05:15,20240124,1,1,22,501,3,2,90.89,USD,False,False,2369.1,2278.21
txn00000000009,2024-02-01,15:22:31,20240201,1,1,27,501,1,1,43.87,USD,False,False,2278.21,2234.34
txn00000000010,2024-02-02,09:00:00,20240202,1,1,0,501,4,4,1604.92,USD,True,True,2234.34,3839.26
txn00000000011,2024-02-02,10:30:00,20240202,1,1,0,501,2,6,340.12,USD,True,False,3839.26,3499.14
txn00000000012,2024-02-04,14:54:33,20240204,1,1,50,501,3,2,88.15,USD,False,False,3499.14,3410.99
txn00000000013,2024-02-06,10:36:20,20240206,1,1,47,501,1,1,25.1,USD,False,False,3410.99,3385.89
txn00000000014,2024-02-07,10:00:00,20240207,1,1,13,501,1,1,24.35,USD,False,False,3385.89,3361.54
txn00000000015,2024-02-09,14:59:13,20240209,1,1,25,501,1,1,39.46,USD,False,False,3361.54,3322.08
txn00000000016,2024-02-13,18:02:19,20240213,1,1,24,501,1,1,35.46,USD,False,False,3322.08,3286.62
txn00000000017,2024-02-23,18:33:09,20240223,1,1,22,501,3,2,75.21,USD,False,False,3286.62,3211.41
txn00000000018,2024-02-29,17:19:50,20240229,1,1,13,501,1,1,30.98,USD,False,False,3211.41,3180.43
txn00000000019,2024-03-02,09:00:00,20240302,1,1,0,501,4,4,1604.92,USD,True,True,3180.43,4785.35
txn00000000020,2024-03-02,10:30:00,20240302,1,1,0,501,2,6,340.12,USD,True,False,4785.35,4445.23
txn00000000021,2024-03-15,23:00:00,20240315,1,1,27,501,1,1,37.8,USD,False,False,4445.23,4407.43
txn00000000022,2024-03-24,17:58:34,20240324,1,1,54,501,1,1,42.37,USD,False,False,4407.43,4365.06
txn00000000023,2024-04-02,09:00:00,20240402,1,1,0,501,4,4,1604.92,USD,True,True,4365.06,5969.98
txn00000000024,2024-04-02,10:30:00,20240402,1,1,0,501,2,6,340.12,USD,True,False,5969.98,5629.86
txn00000000025,2024-04-07,20:44:29,20240407,1,1,53,501,1,1,33.43,USD,False,False,5629.86,5596.43
txn00000000026,2024-04-11,14:47:39,20240411,1,1,31,501,1,1,16.61,USD,False,False,5596.43,5579.82
txn00000000027,2024-04-13,18:05:13,20240413,1,1,31,501,1,1,44.18,USD,False,False,5579.82,5535.64
txn00000000028,2024-04-15,18:09:27,20240415,1,1,25,501,1,1,29.7,USD,False,False,5535.64,5505.94
txn00000000029,2024-04-27,19:19:51,20240427,1,1,25,501,1,1,9.08,USD,False,False,5505.94,5496.86
txn00000000030,2024-04-29,22:11:01,20240429,1,1,2,501,1,1,39.21,USD,False,False,5496.86,5457.65
txn00000000031,2024-04-30,20:53:35,20240430,1,1,24,501,2,1,28.14,USD,False,False,5457.65,5429.51
txn00000000032,2024-05-02,09:00:00,20240502,1,1,0,501,4,4,1604.92,USD,True,True,5429.51,7034.43
txn00000000033,2024-05-02,10:30:00,20240502,1,1,0,501,2,6,340.12,USD,True,False,7034.43,6694.31
txn00000000034,2024-05-06,17:55:18,20240506,1,1,54,501,1,1,36.95,USD,False,False,6694.31,6657.36
txn00000000035,2024-05-14,15:23:28,20240514,1,1,24,501,2,1,32.45,USD,False,False,6657.36,6624.91
